timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
31878;3.0;10;-2.0;217.87474999378796;218.99973855675663;false;14.0
31879;1.0;14;2.0;227.77748728528513;247.20308810826052;false;39.0
31880;3.0;13;2.0;231.3367645647339;225.78921430957635;false;30.0
31881;5.0;10;4.0;228.96912384180845;7.2;false;0.0
31882;9.0;0;-2.0;8.0;226.0707385687873;false;14.0
31883;7.0;2;-2.0;235.63415396531923;225.78921430957635;false;30.0
31884;5.0;6;-4.0;217.54357145508484;215.10452824536242;false;11.0
31885;1.0;11;2.0;226.7828091615138;226.2897729357435;false;30.0
31886;3.0;10;-2.0;218.0997477063817;222.49634670489218;false;14.0
31887;1.0;14;2.0;231.6626074498802;227.08116075547542;false;30.0
31888;3.0;10;-2.0;218.9790675060838;221.67168629989933;false;14.0
31889;1.0;14;2.0;230.74631811099925;227.56583213836223;false;30.0
31890;3.0;10;-2.0;219.5175912648469;215.01578172472378;false;11.0
31891;1.0;11;2.0;226.68420191635974;226.75550642114007;false;30.0
31892;3.0;10;-2.0;218.6172293568223;221.09919882482467;false;14.0
31893;1.0;14;2.0;230.11022091647186;227.2022609253805;false;30.0
31894;3.0;10;-2.0;219.11362325042276;220.57576602642823;false;14.0
31895;1.0;14;2.0;229.5286289182536;227.46544662506147;false;30.0
31896;3.0;10;-2.0;219.40605180562386;220.20439321365365;false;14.0
31897;1.0;14;2.0;229.11599245961517;227.60914807850682;false;30.0
31898;3.0;10;-2.0;219.5657200872298;219.29805189141322;false;16.0
31899;1.0;16;2.0;225.88672432379246;219.2559413091817;false;24.0
31900;3.0;8;-2.0;216.9510458990908;218.1045109487833;false;16.0
31901;1.0;16;2.0;224.56056772087032;227.56096780325984;false;30.0
31902;3.0;10;-2.0;219.5121864480665;219.93316122505416;false;14.0
31903;1.0;14;2.0;228.8146235833935;227.63674326311764;false;30.0
31904;3.0;10;-2.0;219.59638140346402;219.7211427674045;false;14.0
31905;1.0;14;2.0;228.57904751933833;227.6592003086269;false;30.0
31906;3.0;10;-2.0;219.6213336762521;219.55557026947645;false;14.0
31907;1.0;14;2.0;228.39507807719605;223.00406751959326;false;27.0
31908;3.0;9;-2.0;217.7822972439925;215.02861653558423;false;11.0
31909;1.0;11;2.0;226.6984628173158;227.64736289540727;false;30.0
31910;3.0;10;-2.0;219.60818099489697;218.58518836910793;false;14.0
31911;1.0;14;2.0;227.31687596567548;230.13568613781666;false;33.0
31912;3.0;11;-2.0;219.03965126424075;219.09257420009334;false;14.0
31913;1.0;14;2.0;227.88063800010372;227.46322422276523;false;30.0
31914;3.0;10;-2.0;219.40358246973915;219.01743972017243;false;14.0
31915;1.0;14;2.0;227.79715524463603;227.39371852784322;false;30.0
31916;3.0;10;-2.0;219.3263539198258;218.94482111114974;false;14.0
31917;1.0;14;2.0;227.71646790127747;227.32504262228153;false;30.0
31918;3.0;10;-2.0;219.2500473580906;215.19941854964068;false;11.0
31919;1.0;11;2.0;226.88824283293408;226.59592943676054;false;30.0
31920;3.0;10;-2.0;218.4399215964006;218.87436456093045;false;14.0
31921;5.0;10;4.0;184.61529907344675;225.35018653182632;false;30.0
